Event Name,Event Date,Event Website / URL,Location,Organizer Contact Information,Fees (if any),Notes
Boerne Winter Holiday Market,"December 27, 2025",,"Boerne Main Plaza, 100 N Main St, Boerne, TX 78006","Boerne Chamber of Commerce, info@boerne.org, (830) 249-8000",Free entry,"https://www.boernemarketdays.com/winter-holiday Family-friendly market with crafts, food, and kids' activities; within 1 mile of center."
New Year's Eve Family Fireworks,"December 31, 2025",https://www.ci.boerne.tx.us/nye-family,"Cibolo Nature Center, 140 City Park Rd, Boerne, TX 78006","City of Boerne Parks & Rec, parks@boerne-tx.gov, (830) 248-1635",Free,Outdoor fireworks and games for families; approx. 2 miles from center.
Boerne Library Storytime Extravaganza,"January 3, 2026",,"Patrick Heath Public Library, 451 N Main St, Boerne, TX 78006","Patrick Heath Public Library, library@boerne-tx.gov, (830) 249-3053",Free,https://www.boernelibrary.org/events/storytime-jan Interactive storytime for children; within 0.5 miles.
Kendall County Fairgrounds Kids' Craft Fair,"January 10, 2026",https://www.kendallcountyfair.net/kids-craft,"Kendall County Fairgrounds, 1307 River Rd, Boerne, TX 78006","Kendall County Fair Association, info@kendallfair.org, (830) 249-2839",$5 per child,Hands-on crafts and family activities; about 3 miles away.
Boerne ISD STEM Night,"January 15, 2026",,"Boerne High School, 1 Greyhound Ln, Boerne, TX 78006","Boerne ISD PTA, pta@boerneisd.net, (830) 357-2000",Free,https://www.boerneisd.net/stem-night-jan2026 Educational STEM exhibits for families; within 2 miles.
Farmers Market Family Day,"January 17, 2026",,"The Agricultural Heritage Museum, 102 City Park Rd, Boerne, TX 78006",,Free,"https://www.boernefarmersmarket.com/family-day Boerne Farmers Market, contact@boernefarmersmarket.com, (210) 123-4567 Local produce, kids' games, and petting zoo; approx. 1.5 miles."
Martin Luther King Jr. Day Parade,"January 19, 2026",https://www.boerne.org/mlk-parade,"Downtown Boerne, Main Street, Boerne, TX 78006","Boerne Community Coalition, coalition@boerne.org, (830) 249-9999",Free,"Family parade with community groups; central location, under 1 mile."
Valentine’s Family Dance,"February 7, 2026",https://eventbrite.com/e/valentines-family-dance-boerne,"Boerne Community Center, 140 W San Antonio St, Boerne, TX 78006","City of Boerne Recreation, rec@boerne-tx.gov, (830) 248-1523",$10 per family,Dance and activities for parents and kids; within 0.8 miles.
Boerne Art Show for Kids,"February 14, 2026",https://www.boernearts.org/kids-art-show,"Boerne Performing Arts Center, 120 Old San Antonio Rd, Boerne, TX 78006","Boerne Arts Council, arts@boerne.org, (830) 249-1234",Free,Youth art exhibits and workshops; about 1 mile.
Presidents' Day Picnic,"February 16, 2026",https://www.ci.boerne.tx.us/presidents-picnic,"River Road Park, 415 River Rd, Boerne, TX 78006","Boerne Parks Department, parks@boerne-tx.gov, (830) 248-1635",Free,Family picnic with games; approx. 2.5 miles.
Cibolo Nature Center Family Hike,"February 21, 2026",,"Cibolo Nature Center, 140 City Park Rd, Boerne, TX 78006","Cibolo Conservancy, info@cibolo.org, (830) 249-4616",$5 donation suggested,https://www.cibolo.org/family-hike-feb Guided family nature hikes; within 2 miles.
Boerne Spring Festival,"February 28, 2026",https://www.boernespringfest.com,"Boerne Main Plaza, 100 N Main St, Boerne, TX 78006","Boerne Chamber of Commerce, info@boerne.org, (830) 249-8000","Free entry, vendor fees apply","Music, food, and kids' zone; central, under 1 mile."
Library STEM Workshop for Families,"March 5, 2026",,"Patrick Heath Public Library, 451 N Main St, Boerne, TX 78006","Patrick Heath Public Library, library@boerne-tx.gov, (830) 249-3053",Free,https://www.boernelibrary.org/stem-march Hands-on STEM activities; within 0.5 miles.
Boerne Youth Sports Day,"March 7, 2026",https://www.boerneyouthsports.org/sports-day,"Boerne City Park, 106 City Park Rd, Boerne, TX 78006","Boerne Youth Athletics, youth@boerne.org, (830) 249-5678",Free,Kids' sports clinics and games; approx. 1.2 miles.
St. Patrick's Day Family Parade,"March 14, 2026",https://www.boerne.org/st-pats-parade,"Downtown Boerne, Main Street, Boerne, TX 78006","Boerne Irish Society, irish@boerne.org, (830) 249-8765",Free,Parade with floats and family activities; under 1 mile.
Spring Break Craft Fair,"March 15, 2026",https://eventbrite.com/e/spring-craft-fair-boerne,"Kendall County Fairgrounds, 1307 River Rd, Boerne, TX 78006","Local Crafters Guild, crafts@boerne.com, (210) 987-6543",$3 entry,"Crafts, food, and kids' crafts; about 3 miles."
Community Easter Egg Hunt,"March 21, 2026",https://www.ci.boerne.tx.us/easter-hunt,"Cibolo Nature Center, 140 City Park Rd, Boerne, TX 78006","City of Boerne, events@boerne-tx.gov, (830) 248-1523",Free,"Family egg hunt and games; within 2 miles. Note: Date approximate, confirm closer to time."
Boerne Farmers Market Opening Day,"March 22, 2026",,"The Agricultural Heritage Museum, 102 City Park Rd, Boerne, TX 78006",,Free,"https://www.boernefarmersmarket.com/opening-day Boerne Farmers Market, contact@boernefarmersmarket.com, (210) 123-4567 Seasonal opening with family entertainment; approx. 1.5 miles."



DISCLAIMER:
Events listed here are sourced from publicly available online information. Code Ninjas does not endorse or verify any event, organizer, venue, or activity. Franchisees should independently evaluate the accuracy, appropriateness, and suitability of each event before participating.
