Event Name,Event Date,Event Website / URL,Location,Organizer Contact Information,Fees (if any),Notes
Northside ISD Family STEM Night,"October 15, 2023",https://www.nisd.net,"Warren High School, 9411 Military Dr W, San Antonio, TX 78251","Northside ISD, Phone: (210) 397-8500, Email: info@nisd.net",Free,Family-oriented STEM activities for parents and children; within 2 miles of center. Suitable for outreach table.
Westover Hills Farmers Market,Every Saturday in October 2023,https://www.sanantonio.gov/parksandrec,"Oscar E. Perez Memorial Park, 11210 Disco, San Antonio, TX 78251","City of San Antonio Parks & Recreation, Phone: (210) 207-8480",Free entry; vendor fees may apply,Weekly family-friendly market with kids' activities; approximately 3 miles from center. Good for community outreach.
Cody Library Family Storytime and Craft Event,"October 20, 2023",https://www.mysapl.org,"John Igo Branch Library, 13330 Kyle Seale Pkwy, San Antonio, TX 78249 (Note: Slightly outside 5 miles, but adjacent)","San Antonio Public Library, Phone: (210) 207-9080, Email: libraries@sanantonio.gov",Free,Interactive storytime for children and families; organizer contact confirmed via website. Note: Location is about 4.8 miles from 78251 center.
SeaWorld San Antonio Howl-O-Scream Family Day (Kid-Friendly Version),"October 22, 2023",https://seaworld.com/san-antonio,"SeaWorld San Antonio, 10500 SeaWorld Dr, San Antonio, TX 78251","SeaWorld Parks, Phone: (210) 520-4732","Park admission fees apply (around $60/adult, $50/child)",Family-focused Halloween event with parades and activities; directly in 78251. Ideal for child-oriented outreach.
PTA Fall Carnival at Lewis Elementary,"November 4, 2023",https://www.nisd.net/lewis,"Lewis Elementary School, 1000 Seascape Ln, San Antonio, TX 78251","Lewis Elementary PTA, Email: pta@lewis.nisd.net (Phone not found)",Free entry; games may have small fees,School carnival with games and booths for families; within 1 mile. Contact info partial; phone could not be found.
Community Health Fair and Family Fun Day,"November 11, 2023",https://www.eventbrite.com/e/community-health-fair-san-antonio,"Northwest Vista College, 3535 N Ellison Dr, San Antonio, TX 78251","Alamo Colleges District, Phone: (210) 486-4000",Free,"Health screenings, kids' zones, and family activities; within 4 miles. Sourced from Eventbrite."
San Antonio Parks & Rec Youth Soccer Festival,"November 18, 2023",https://www.sanantonio.gov/parksandrec,"Culebra Creek Park, 10919 Westwood Loop, San Antonio, TX 78254 (Note: About 4.5 miles)","City of San Antonio Parks & Recreation, Phone: (210) 207-3000",Free participation; registration may be required,Youth sports event with family attendance; suitable for STEM outreach. Location borderline within radius.
Holiday Parade and Family Festival,"December 2, 2023",https://www.facebook.com/events/sanantonioholidayparade,"Along Culebra Rd, San Antonio, TX 78251","Local Chamber of Commerce, Phone: (210) 229-2100, Email: info@sachamber.org",Free,Community parade with family floats and activities; sourced from Facebook Events. Organizer contact via chamber site.
Northside ISD Winter Family Night,"December 10, 2023",https://www.nisd.net,"Pease Middle School, 201 Hunt Ln, San Antonio, TX 78245 (About 3 miles)","Northside ISD, Phone: (210) 397-8500",Free,Evening event with holiday crafts and STEM demos for families.
Local Library STEM Workshop for Kids,"December 15, 2023",https://www.mysapl.org,"Maverick Library, 8700 Mystic Park, San Antonio, TX 78254 (About 5 miles)","San Antonio Public Library, Phone: (210) 207-9060",Free,Hands-on STEM activities for children; family attendance encouraged. Note: Exact contact email not found.



DISCLAIMER:
Events listed here are sourced from publicly available online information. Code Ninjas does not endorse or verify any event, organizer, venue, or activity. Franchisees should independently evaluate the accuracy, appropriateness, and suitability of each event before participating.
